osm_id,rooms,name,opening_ho,addrcity,addrhousen,source,man_made,shop,addrstreet,amenity,addrfull,beds,tourism
4947103422,,Tosha Petrol Station,,Ruiru,,,,,Thika Road,fuel,,,
4947103423,,"Shell New Thika Rd, Ruiru",,Ruiru,,,,,Thika Road,fuel,,,
4950669421,,National Oil Petrol Station,,Nairobi,,,,,Thika Road,fuel,,,
4971806523,,Legit,,,,,,,Limuru Road,fuel,,,
4972148221,,Delta Petrol Station,,Kerwa,,,,,Eldoret-Malaba Road,fuel,,,
4972148421,,Astrol petrol station,,Kerwa,,,,,Eldoret-Malaba Road,fuel,,,
4972148621,,Shell,,Gitaru,,,,,A104,fuel,,,
4972148622,,National Oil,,,,,,,,fuel,,,
4972148821,,Kwikfill,,,,,,,,fuel,,,
4984926729,,,,,,,,,,fuel,,,
4984926730,,,,,,,,,,fuel,,,
4986216122,,National Oil,,,,,,,,fuel,,,
4986216123,,,,,,,,,,fuel,,,
4986237328,,,,,,,,,,fuel,,,
4988260822,,Lexus Petroleum,,Limuru,,,,,Kamandura-Maai Mahiu-Narok Road,fuel,,,
4988284824,,Kampala Way Petrol Station,,Gitaru,,,,,A104,fuel,,,
4988290722,,Midas Service Station (Pel),,Kerwa,,,,,Eldoret-Malaba Road,fuel,,,
4999849940,,Total Petrol Station,,Homa Bay,,,,,Homa Bay,fuel,,,
4999849945,,National Oil Petrol Station,,Homa Bay,,,,,C19,fuel,,,
5000456831,,Rubis,,Emali,,,,,Mombasa Road,fuel,,,
5000467423,,Matrix Filling Station,,,,,,,,fuel,,,
5000467424,,Total,,Emali,,,,,Mombasa Road,fuel,,,
5024418667,,Total Busia Road Service Station,,Kisumu,,,,,Kisumu-Busia Road,fuel,,,
5083493895,,Webuye Corner Service Station,24/7,Webuye,,,,,Eldoret-Malaba Road,fuel,,,
5098143623,,Total,,Nairobi,,,,,Lower Kabete Road,fuel,,,
5098143923,,Walokana Petrol Station,,Wangige,,,,,Gitaru Road,fuel,,,
5119552023,,Shell,,Nairobi,,,,,Kiambu Road,fuel,,,
5119573528,,Shell,,Nairobi,,,,,Murang'a Road,fuel,,,
5126178929,,AS Energy,,,,,,,,fuel,,,
5126179023,,Rubis,,Makuyu,,,,,A2,fuel,,,
5126194223,,Midax Petroleum,,Karatina,,,,,A2,fuel,,,
5126218422,,National Oil,,,,,,,,fuel,,,
5126219526,,Shell,,Thika,,,,,Meru-Nairobi Highway,fuel,,,
5126247329,,Shell,,,,,,,Embu-Nairobi Highway,fuel,,,
5126247330,,Gulf Energy,,,,,,,Embu-Nairobi Highway,fuel,,,
5128670225,,Malka Shop,,,,,,,,fuel,,,
5128771227,,LTWP Petrol Station,,,,,,,,fuel,,,
5162725223,,Shell,,Kiambu,,,,,Gatundu-Kinare Road,fuel,,,
5163321101,,National Oil,,,,,,,,fuel,,,
5179571022,,Shell Petrol Station Kajiado,,Kajiado,,,,,Nairobi-Namanga Road,fuel,,,
5181226722,,Petrol Station,,,,,,,,fuel,,,
5181237521,,Petrol Station,,,,,,,,fuel,,,
5181243640,,Kamburu Petrol Station,,Kivaa,,,,,Embu - Siakago Road,fuel,,,
5181243642,,National oil,,,,,,,Garissa Road,fuel,,,
5181243643,,Shell,,,,,,,,fuel,,,
5181243830,,Total Petrol Station,,,,,,,,fuel,,,
5217418921,,Shell,,Nairobi,,,,,Kirinyaga Road,fuel,,,
5221207085,,Astrol Utawala,,Nairobi,,,,,Eastern Bypass,fuel,,,
5271497922,,Lexo,,Kajiado,,,,,Nairobi-Namanga Road,fuel,,,
5327749961,,Shell,,Kiambu,,,,,Biashara Street Kiambu,fuel,,,
5327757880,,Mo Gas,,Kiambu,,,,,Biashara Street Kiambu,fuel,,,
5327762742,,National Oil Kiambu,,Kiambu,,,,,Biashara Street,fuel,,,
5327768212,,OLA Energy,,Kiambu,,,,,Biashara Street Kiambu,fuel,,,
5328970047,,Ilade Oil,,Kitengela,,,,,Namanga Road,fuel,,,
5328970056,,Rubis,,Kisaju,,,,,Nairobi-Namanga Road,fuel,,,
5329000707,,Rubis,,Kajiado,,,,,Nairobi-Namanga Road,fuel,,,
5329705089,,Mwandus Filling Station,,,,,,,,fuel,,,
5329816731,,Delta Filling Station,,Kiambu,,,,,Kiambu Road,fuel,,,
5334954923,,Triton - Naivasha Road,,,,,,,,fuel,,,
5334963441,,Danken Filling Station,,,,,,,,fuel,,,
