osm_id,rooms,name,opening_ho,addrcity,addrhousen,source,man_made,shop,addrstreet,amenity,addrfull,beds,tourism
5928527254,,Olchani Campsite,,,,,,,,,,,camp_site
6015135885,,My spot,,,,,,,,,,,camp_site
6052116985,,Hill campsite in shampole reserve,,,,,,,,,,,camp_site
6054270091,,Chief's Office - Ganjoni Location,,,,,,,,,,,camp_site
6054980225,,Kisa Adventures,,,,,,,Nairobi - Nakuru Road,,,,camp_site
6066246753,,Maasai Mara University,,,,,,,,,,,camp_site
6070052119,,Ziwa bush lodge,,,,,,,,,,,camp_site
6079543966,,view point campsite,,Homa Bay,,,,,Homa Bay-Mbita Road,,,,camp_site
6116638605,,Red Hill Camp Site,,Redhill,,,,,Limuru Road,,,,camp_site
6153762485,,Ngare Ndare Campsite,,,,,,,,,,,camp_site
6191766003,,Nyaburu Chief Camp,,,,,,,,,,,camp_site
6226897856,,CRBC S5 Athi River,,Athi River,,,,,Nairobi - Mombasa Road,,,,camp_site
6232984471,,Tizi campsite,,Namanga,,,,,Athi River-Namanga Road,,,,camp_site
6244921241,,Camp Mahon Gardens,,Nanyuki,,,,,Nyeri-Nanyuki Road,,,,camp_site
6302200889,,Murera Donga,,,,,,,,,,,camp_site
6302200933,,,,,,,,,,,,,camp_site
6302200967,,Ol Lerai Campsite,,,,,,,,,,,camp_site
6302200983,,Ewaso Camp Site,,,,,,,,,,,camp_site
6302777192,,Hippo Camp Site,,,,,,,,,,,camp_site
6347038785,,The use-less center Sanctuary Farm,Mo-Su 07:00-07:00,,,,,,South Lake Road,,,,camp_site
6347038985,,The Use-Less Center,Mo-Su 07:00-07:00,,,,,,South Lake Road,,,,camp_site
6362111744,,Reedbuck Public Campsite 2,,,,,,,,,,,camp_site
6369505985,,The Use-Less Center,Mo-Su 07:00-08:00,,,,,,South Lake Road,,,,camp_site
6416097187,,Eluai Public Campsite,,,,,,,,,,,camp_site
6576670586,,Tumelewaa camp,,,,,,,,,,,camp_site
6611964486,,Talek Bush Camp,24/7,,,,,,C14,,,,camp_site
6679957286,,Ewaso Campsite,,,,,,,,,,,camp_site
6709381965,,Kichaka Glamping,,Bisil,,,,,,,,,camp_site
6709385686,,Kichaka Farm House,,,,,,,,,,,camp_site
6712203786,,KWS campsite,,,,,,,,,,,camp_site
6721083885,,Samburu public,,,,,,,,,,,camp_site
6742582588,,Swara camp,,,,,,,,,,,camp_site
6745557825,,Mtelo View Eco Lodge,,,,,,,,,,,camp_site
6831274380,,,,,,,,,,,,,camp_site
6905900387,,She'gadia,,Karagita,,,,,Moi S Lake Road,,,,camp_site
6912769752,,Duara Flamingo,,,,,,,,,,,camp_site
6929558385,,Old camp,,,,,,,,,,,camp_site
6934979085,,IED,,,,,,,,,,,camp_site
6980137685,,Bsp start,,,,,,,,,,,camp_site
7077573301,,Sabache Camp,,,,,,,,,,,camp_site
7193063385,,Chokka gate campsite,,,,,,,,,,,camp_site
7211604542,,Women's Camp,,,,,,,,,,,camp_site
7217945888,,"ArdhaJilla Campsite and Recreation, Sololo",,,,,,,,,,,camp_site
7227297580,,Central Kisumu Chief,,Kisumu,,,,,Kisumu-Busia Road,,,,camp_site
7247261585,,Hassan Kohot,,,,,,,,,,,camp_site
7260816585,,ArdhaJilla Campsite,,,,,,,,,,,camp_site
7330330085,,Sarira,,,,,,,,,,,camp_site
7429043885,,Sarira,,,,,,,,,,,camp_site
7526957983,,,,,,,,,,,,,camp_site
7527032071,,,,,,,,,,,,,camp_site
7887411671,,Maili Saba,,,,,,,Road to Maili Saba,,,,camp_site
7954446285,,Zebra Plains Mara Camp,24/7,,,,,,,,,,camp_site
7994528687,,Mount Kenya Eco Resource,,,,,,,,,,,camp_site
7994528688,,Mwea main camping spot,,,,,,,,,,,camp_site
7994544485,,Oseki camp,,,,,,,,,,,camp_site
8006995609,,Kikopey Beach Camp,,,,,,,,,,,camp_site
8015923385,,Mara Explorers,,,,,,,,,,,camp_site
8018729985,,Sukunua,,,,,,,,,,,camp_site
8043776585,,,,,,,,,,,,,camp_site
8068954585,,Black Eye Camping site,,,,,,,,,,,camp_site
8071675517,,WE4Kenya,,,,,,,,,,,camp_site
8195833118,,Mida Eco Camp,,,,,,,,,,,camp_site
8196049517,,Chemosusu Dam,,,,,,,,,,,camp_site
8266434293,,Oloolua Nature Trail Camping site,,,,,,,,,,,camp_site
8319498149,,KWS Outpost Campsite,,,,,,,,,,,camp_site
8354946717,,,,,,,,,,,,,camp_site
8448893817,,Kolbio,,,,,,,,,,,camp_site
8455275517,,Modika,,,,,,,,,,,camp_site
8844217317,,Engineers,,,,,,,,,,,camp_site
8880370619,,Ijara,,,,,,,,,,,camp_site
8891993218,,Elui Hut special campsite,,,,,,,,,,,camp_site
8911683317,,Lugard Falls campsite,,,,,,,,,,,camp_site
8929071717,,Enkorok Mara Camp,,,,,,,,,,,camp_site
9186497020,,Heshima Best Camping,,,,,,,,,,,camp_site
9186497021,,Lions Cave Camp,,,,,,,,,,,camp_site
9223835617,,James's Tiva Campsite,,,,,,,,,,,camp_site
9223838317,,Pool house,,,,,,,,,,,camp_site
9281111120,,Iseiya Public Campsite,,,,,,,,,,,camp_site
9281310274,,Mara West Lodge & Campsite,,,,,,,,,,,camp_site
